@/atom:SPCE/H   1       #"system.lt", line 15
$/mol:wat[603]   604       #"system.lt", line 3
$/mol:wat[604]   605       #"system.lt", line 3
$/mol:wat[605]   606       #"system.lt", line 3
$/mol:wat[606]   607       #"system.lt", line 3
$/mol:wat[607]   608       #"system.lt", line 3
$/mol:wat[608]   609       #"system.lt", line 3
$/mol:wat[609]   610       #"system.lt", line 3
$/mol:wat[610]   611       #"system.lt", line 3
$/mol:wat[611]   612       #"system.lt", line 3
$/mol:wat[612]   613       #"system.lt", line 3
$/mol:wat[613]   614       #"system.lt", line 3
$/mol:wat[614]   615       #"system.lt", line 3
$/mol:wat[615]   616       #"system.lt", line 3
$/mol:wat[616]   617       #"system.lt", line 3
$/mol:wat[617]   618       #"system.lt", line 3
$/mol:wat[618]   619       #"system.lt", line 3
$/mol:wat[619]   620       #"system.lt", line 3
$/mol:wat[620]   621       #"system.lt", line 3
$/mol:wat[621]   622       #"system.lt", line 3
$/mol:wat[622]   623       #"system.lt", line 3
$/mol:wat[623]   624       #"system.lt", line 3
$/mol:wat[624]   625       #"system.lt", line 3
$/mol:wat[625]   626       #"system.lt", line 3
$/mol:wat[626]   627       #"system.lt", line 3
$/mol:wat[627]   628       #"system.lt", line 3
$/mol:wat[628]   629       #"system.lt", line 3
$/mol:wat[629]   630       #"system.lt", line 3
$/mol:wat[630]   631       #"system.lt", line 3
$/mol:wat[631]   632       #"system.lt", line 3
$/mol:wat[632]   633       #"system.lt", line 3
$/mol:wat[633]   634       #"system.lt", line 3
$/mol:wat[634]   635       #"system.lt", line 3
$/mol:wat[635]   636       #"system.lt", line 3
$/mol:wat[636]   637       #"system.lt", line 3
$/mol:wat[637]   638       #"system.lt", line 3
$/mol:wat[638]   639       #"system.lt", line 3
$/mol:wat[639]   640       #"system.lt", line 3
$/mol:wat[640]   641       #"system.lt", line 3
$/mol:wat[641]   642       #"system.lt", line 3
$/mol:wat[642]   643       #"system.lt", line 3
$/mol:wat[643]   644       #"system.lt", line 3
$/mol:wat[644]   645       #"system.lt", line 3
$/mol:wat[645]   646       #"system.lt", line 3
$/mol:wat[646]   647       #"system.lt", line 3
$/mol:wat[647]   648       #"system.lt", line 3
$/mol:wat[648]   649       #"system.lt", line 3
$/mol:wat[649]   650       #"system.lt", line 3
$/mol:wat[650]   651       #"system.lt", line 3
$/mol:wat[651]   652       #"system.lt", line 3
$/mol:wat[652]   653       #"system.lt", line 3
$/mol:wat[653]   654       #"system.lt", line 3
$/mol:wat[654]   655       #"system.lt", line 3
$/mol:wat[655]   656       #"system.lt", line 3
$/mol:wat[656]   657       #"system.lt", line 3
$/mol:wat[657]   658       #"system.lt", line 3
$/mol:wat[658]   659       #"system.lt", line 3
$/mol:wat[659]   660       #"system.lt", line 3
$/mol:wat[660]   661       #"system.lt", line 3
$/mol:wat[661]   662       #"system.lt", line 3
$/mol:wat[662]   663       #"system.lt", line 3
$/mol:wat[663]   664       #"system.lt", line 3
$/mol:wat[664]   665       #"system.lt", line 3
$/mol:wat[665]   666       #"system.lt", line 3
$/mol:wat[666]   667       #"system.lt", line 3
$/mol:wat[667]   668       #"system.lt", line 3
$/mol:wat[668]   669       #"system.lt", line 3
$/mol:wat[669]   670       #"system.lt", line 3
$/mol:wat[670]   671       #"system.lt", line 3
$/mol:wat[671]   672       #"system.lt", line 3
$/mol:wat[672]   673       #"system.lt", line 3
$/mol:wat[673]   674       #"system.lt", line 3
$/mol:wat[674]   675       #"system.lt", line 3
$/mol:wat[675]   676       #"system.lt", line 3
$/mol:wat[676]   677       #"system.lt", line 3
$/mol:wat[677]   678       #"system.lt", line 3
$/mol:wat[678]   679       #"system.lt", line 3
$/mol:wat[679]   680       #"system.lt", line 3
$/mol:wat[680]   681       #"system.lt", line 3
$/mol:wat[681]   682       #"system.lt", line 3
$/mol:wat[682]   683       #"system.lt", line 3
$/mol:wat[683]   684       #"system.lt", line 3
$/mol:wat[684]   685       #"system.lt", line 3
$/mol:wat[685]   686       #"system.lt", line 3
$/mol:wat[686]   687       #"system.lt", line 3
$/mol:wat[687]   688       #"system.lt", line 3
$/mol:wat[688]   689       #"system.lt", line 3
$/mol:wat[689]   690       #"system.lt", line 3
$/mol:wat[690]   691       #"system.lt", line 3
$/mol:wat[691]   692       #"system.lt", line 3
$/mol:wat[692]   693       #"system.lt", line 3
$/mol:wat[693]   694       #"system.lt", line 3
$/mol:wat[694]   695       #"system.lt", line 3
$/mol:wat[695]   696       #"system.lt", line 3
$/mol:wat[696]   697       #"system.lt", line 3
$/mol:wat[697]   698       #"system.lt", line 3
$/mol:wat[698]   699       #"system.lt", line 3
$/mol:wat[699]   700       #"system.lt", line 3
$/mol:wat[700]   701       #"system.lt", line 3
$/mol:wat[701]   702       #"system.lt", line 3
$/mol:wat[702]   703       #"system.lt", line 3
$/mol:wat[703]   704       #"system.lt", line 3
$/mol:wat[704]   705       #"system.lt", line 3
$/mol:wat[705]   706       #"system.lt", line 3
$/mol:wat[706]   707       #"system.lt", line 3
$/mol:wat[707]   708       #"system.lt", line 3
$/mol:wat[708]   709       #"system.lt", line 3
$/mol:wat[709]   710       #"system.lt", line 3
$/mol:wat[710]   711       #"system.lt", line 3
$/mol:wat[711]   712       #"system.lt", line 3
$/mol:wat[712]   713       #"system.lt", line 3
$/mol:wat[713]   714       #"system.lt", line 3
$/mol:wat[714]   715       #"system.lt", line 3
$/mol:wat[715]   716       #"system.lt", line 3
$/mol:wat[716]   717       #"system.lt", line 3
$/mol:wat[717]   718       #"system.lt", line 3
$/mol:wat[718]   719       #"system.lt", line 3
$/mol:wat[719]   720       #"system.lt", line 3
$/mol:wat[720]   721       #"system.lt", line 3
$/mol:wat[721]   722       #"system.lt", line 3
$/mol:wat[722]   723       #"system.lt", line 3
$/mol:wat[723]   724       #"system.lt", line 3
$/mol:wat[724]   725       #"system.lt", line 3
$/mol:wat[725]   726       #"system.lt", line 3
$/mol:wat[726]   727       #"system.lt", line 3
$/mol:wat[727]   728       #"system.lt", line 3
$/mol:wat[728]   729       #"system.lt", line 3
$/mol:wat[729]   730       #"system.lt", line 3
$/mol:wat[730]   731       #"system.lt", line 3
$/mol:wat[731]   732       #"system.lt", line 3
$/mol:wat[732]   733       #"system.lt", line 3
$/mol:wat[733]   734       #"system.lt", line 3
$/mol:wat[734]   735       #"system.lt", line 3
$/mol:wat[735]   736       #"system.lt", line 3
$/mol:wat[736]   737       #"system.lt", line 3
$/mol:wat[737]   738       #"system.lt", line 3
$/mol:wat[738]   739       #"system.lt", line 3
$/mol:wat[739]   740       #"system.lt", line 3
$/mol:wat[740]   741       #"system.lt", line 3
$/mol:wat[741]   742       #"system.lt", line 3
$/mol:wat[742]   743       #"system.lt", line 3
$/mol:wat[743]   744       #"system.lt", line 3
$/mol:wat[744]   745       #"system.lt", line 3
$/mol:wat[745]   746       #"system.lt", line 3
$/mol:wat[746]   747       #"system.lt", line 3
$/mol:wat[747]   748       #"system.lt", line 3
$/mol:wat[748]   749       #"system.lt", line 3
$/mol:wat[749]   750       #"system.lt", line 3
$/mol:wat[750]   751       #"system.lt", line 3
$/mol:wat[751]   752       #"system.lt", line 3
$/mol:wat[752]   753       #"system.lt", line 3
$/mol:wat[753]   754       #"system.lt", line 3
$/mol:wat[754]   755       #"system.lt", line 3
$/mol:wat[755]   756       #"system.lt", line 3
$/mol:wat[756]   757       #"system.lt", line 3
$/mol:wat[757]   758       #"system.lt", line 3
$/mol:wat[758]   759       #"system.lt", line 3
$/mol:wat[759]   760       #"system.lt", line 3
$/mol:wat[760]   761       #"system.lt", line 3
$/mol:wat[761]   762       #"system.lt", line 3
$/mol:wat[762]   763       #"system.lt", line 3
$/mol:wat[763]   764       #"system.lt", line 3
$/mol:wat[764]   765       #"system.lt", line 3
$/mol:wat[765]   766       #"system.lt", line 3
$/mol:wat[766]   767       #"system.lt", line 3
$/mol:wat[767]   768       #"system.lt", line 3
$/mol:wat[768]   769       #"system.lt", line 3
$/mol:wat[769]   770       #"system.lt", line 3
$/mol:wat[770]   771       #"system.lt", line 3
$/mol:wat[771]   772       #"system.lt", line 3
$/mol:wat[772]   773       #"system.lt", line 3
$/mol:wat[773]   774       #"system.lt", line 3
$/mol:wat[774]   775       #"system.lt", line 3
$/mol:wat[775]   776       #"system.lt", line 3
$/mol:wat[776]   777       #"system.lt", line 3
$/mol:wat[777]   778       #"system.lt", line 3
$/mol:wat[778]   779       #"system.lt", line 3
$/mol:wat[779]   780       #"system.lt", line 3
$/mol:wat[780]   781       #"system.lt", line 3
$/mol:wat[781]   782       #"system.lt", line 3
$/mol:wat[782]   783       #"system.lt", line 3
$/mol:wat[783]   784       #"system.lt", line 3
$/mol:wat[784]   785       #"system.lt", line 3
$/mol:wat[785]   786       #"system.lt", line 3
$/mol:wat[786]   787       #"system.lt", line 3
$/mol:wat[787]   788       #"system.lt", line 3
$/mol:wat[788]   789       #"system.lt", line 3
$/mol:wat[789]   790       #"system.lt", line 3
$/mol:wat[790]   791       #"system.lt", line 3
$/mol:wat[791]   792       #"system.lt", line 3
$/mol:wat[792]   793       #"system.lt", line 3
$/mol:wat[793]   794       #"system.lt", line 3
$/mol:wat[794]   795       #"system.lt", line 3
$/mol:wat[795]   796       #"system.lt", line 3
$/mol:wat[796]   797       #"system.lt", line 3
$/mol:wat[797]   798       #"system.lt", line 3
$/mol:wat[798]   799       #"system.lt", line 3
$/mol:wat[799]   800       #"system.lt", line 3
$/mol:wat[800]   801       #"system.lt", line 3
$/mol:wat[801]   802       #"system.lt", line 3
$/mol:wat[802]   803       #"system.lt", line 3
$/mol:wat[803]   804       #"system.lt", line 3
$/mol:wat[804]   805       #"system.lt", line 3
$/mol:wat[805]   806       #"system.lt", line 3
$/mol:wat[806]   807       #"system.lt", line 3
$/mol:wat[807]   808       #"system.lt", line 3
$/mol:wat[808]   809       #"system.lt", line 3
$/mol:wat[809]   810       #"system.lt", line 3
$/mol:wat[810]   811       #"system.lt", line 3
$/mol:wat[811]   812       #"system.lt", line 3
$/mol:wat[812]   813       #"system.lt", line 3
$/mol:wat[813]   814       #"system.lt", line 3
$/mol:wat[814]   815       #"system.lt", line 3
$/mol:wat[815]   816       #"system.lt", line 3
$/mol:wat[816]   817       #"system.lt", line 3
$/mol:wat[817]   818       #"system.lt", line 3
$/mol:wat[818]   819       #"system.lt", line 3
$/mol:wat[819]   820       #"system.lt", line 3
$/mol:wat[820]   821       #"system.lt", line 3
$/mol:wat[821]   822       #"system.lt", line 3
$/mol:wat[822]   823       #"system.lt", line 3
$/mol:wat[823]   824       #"system.lt", line 3
$/mol:wat[824]   825       #"system.lt", line 3
$/mol:wat[825]   826       #"system.lt", line 3
$/mol:wat[826]   827       #"system.lt", line 3
$/mol:wat[827]   828       #"system.lt", line 3
$/mol:wat[828]   829       #"system.lt", line 3
$/mol:wat[829]   830       #"system.lt", line 3
$/mol:wat[830]   831       #"system.lt", line 3
$/mol:wat[831]   832       #"system.lt", line 3
$/mol:wat[832]   833       #"system.lt", line 3
$/mol:wat[833]   834       #"system.lt", line 3
$/mol:wat[834]   835       #"system.lt", line 3
$/mol:wat[835]   836       #"system.lt", line 3
$/mol:wat[836]   837       #"system.lt", line 3
$/mol:wat[837]   838       #"system.lt", line 3
$/mol:wat[838]   839       #"system.lt", line 3
$/mol:wat[839]   840       #"system.lt", line 3
$/mol:wat[840]   841       #"system.lt", line 3
$/mol:wat[841]   842       #"system.lt", line 3
$/mol:wat[842]   843       #"system.lt", line 3
$/mol:wat[843]   844       #"system.lt", line 3
$/mol:wat[844]   845       #"system.lt", line 3
$/mol:wat[845]   846       #"system.lt", line 3
$/mol:wat[846]   847       #"system.lt", line 3
$/mol:wat[847]   848       #"system.lt", line 3
$/mol:wat[848]   849       #"system.lt", line 3
$/mol:wat[849]   850       #"system.lt", line 3
$/mol:wat[850]   851       #"system.lt", line 3
$/mol:wat[851]   852       #"system.lt", line 3
$/mol:wat[852]   853       #"system.lt", line 3
$/mol:wat[853]   854       #"system.lt", line 3
$/mol:wat[854]   855       #"system.lt", line 3
$/mol:wat[855]   856       #"system.lt", line 3
$/mol:wat[856]   857       #"system.lt", line 3
$/mol:wat[857]   858       #"system.lt", line 3
$/mol:wat[858]   859       #"system.lt", line 3
$/mol:wat[859]   860       #"system.lt", line 3
$/mol:wat[860]   861       #"system.lt", line 3
$/mol:wat[861]   862       #"system.lt", line 3
$/mol:wat[862]   863       #"system.lt", line 3
$/mol:wat[863]   864       #"system.lt", line 3
$/mol:wat[864]   865       #"system.lt", line 3
$/mol:wat[865]   866       #"system.lt", line 3
$/mol:wat[866]   867       #"system.lt", line 3
$/mol:wat[867]   868       #"system.lt", line 3
$/mol:wat[868]   869       #"system.lt", line 3
$/mol:wat[869]   870       #"system.lt", line 3
$/mol:wat[870]   871       #"system.lt", line 3
$/mol:wat[871]   872       #"system.lt", line 3
$/mol:wat[872]   873       #"system.lt", line 3
$/mol:wat[873]   874       #"system.lt", line 3
$/mol:wat[874]   875       #"system.lt", line 3
$/mol:wat[875]   876       #"system.lt", line 3
$/mol:wat[876]   877       #"system.lt", line 3
$/mol:wat[877]   878       #"system.lt", line 3
$/mol:wat[878]   879       #"system.lt", line 3
$/mol:wat[879]   880       #"system.lt", line 3
$/mol:wat[880]   881       #"system.lt", line 3
$/mol:wat[881]   882       #"system.lt", line 3
$/mol:wat[882]   883       #"system.lt", line 3
$/mol:wat[883]   884       #"system.lt", line 3
$/mol:wat[884]   885       #"system.lt", line 3
$/mol:wat[885]   886       #"system.lt", line 3
$/mol:wat[886]   887       #"system.lt", line 3
$/mol:wat[887]   888       #"system.lt", line 3
$/mol:wat[888]   889       #"system.lt", line 3
$/mol:wat[889]   890       #"system.lt", line 3
$/mol:wat[890]   891       #"system.lt", line 3
$/mol:wat[891]   892       #"system.lt", line 3
$/mol:wat[892]   893       #"system.lt", line 3
$/mol:wat[893]   894       #"system.lt", line 3
$/mol:wat[894]   895       #"system.lt", line 3
$/mol:wat[895]   896       #"system.lt", line 3
$/mol:wat[896]   897       #"system.lt", line 3
$/mol:wat[897]   898       #"system.lt", line 3
$/mol:wat[898]   899       #"system.lt", line 3
$/mol:wat[899]   900       #"system.lt", line 3
$/mol:wat[900]   901       #"system.lt", line 3
$/mol:graphene[0]   902       #"system.lt", line 62
$/mol:graphene[1]   903       #"system.lt", line 62
$/mol:graphene[2]   904       #"system.lt", line 62
$/mol:graphene[3]   905       #"system.lt", line 62
$/mol:graphene[4]   906       #"system.lt", line 62
$/mol:graphene[5]   907       #"system.lt", line 62
$/mol:graphene[6]   908       #"system.lt", line 62
$/mol:graphene[7]   909       #"system.lt", line 62
$/mol:graphene[8]   910       #"system.lt", line 62
$/mol:graphene[9]   911       #"system.lt", line 62
$/mol:graphene[10]   912       #"system.lt", line 62
$/mol:graphene[11]   913       #"system.lt", line 62
$/mol:graphene[12]   914       #"system.lt", line 62
$/mol:graphene[13]   915       #"system.lt", line 62
$/mol:graphene[14]   916       #"system.lt", line 62
$/mol:graphene[15]   917       #"system.lt", line 62
$/mol:graphene[16]   918       #"system.lt", line 62
$/mol:graphene[17]   919       #"system.lt", line 62
$/mol:graphene[18]   920       #"system.lt", line 62
$/mol:graphene[19]   921       #"system.lt", line 62
$/mol:graphene[20]   922       #"system.lt", line 62
$/mol:graphene[21]   923       #"system.lt", line 62
$/mol:graphene[22]   924       #"system.lt", line 62
$/mol:graphene[23]   925       #"system.lt", line 62
$/mol:graphene[24]   926       #"system.lt", line 62
$/mol:graphene[25]   927       #"system.lt", line 62
$/mol:graphene[26]   928       #"system.lt", line 62
$/mol:graphene[27]   929       #"system.lt", line 62
$/mol:graphene[28]   930       #"system.lt", line 62
$/mol:graphene[29]   931       #"system.lt", line 62
$/mol:graphene[30]   932       #"system.lt", line 62
$/mol:graphene[31]   933       #"system.lt", line 62
$/mol:graphene[32]   934       #"system.lt", line 62
$/mol:graphene[33]   935       #"system.lt", line 62
$/mol:graphene[34]   936       #"system.lt", line 62
$/mol:graphene[35]   937       #"system.lt", line 62
$/mol:graphene[36]   938       #"system.lt", line 62
$/mol:graphene[37]   939       #"system.lt", line 62
$/mol:graphene[38]   940       #"system.lt", line 62
$/mol:graphene[39]   941       #"system.lt", line 62
$/mol:graphene[40]   942       #"system.lt", line 62
$/mol:graphene[41]   943       #"system.lt", line 62
$/mol:graphene[42]   944       #"system.lt", line 62
$/mol:graphene[43]   945       #"system.lt", line 62
$/mol:graphene[44]   946       #"system.lt", line 62
$/mol:graphene[45]   947       #"system.lt", line 62
$/mol:graphene[46]   948       #"system.lt", line 62
$/mol:graphene[47]   949       #"system.lt", line 62
$/mol:graphene[48]   950       #"system.lt", line 62
$/mol:graphene[49]   951       #"system.lt", line 62
$/mol:graphene[50]   952       #"system.lt", line 62
$/mol:graphene[51]   953       #"system.lt", line 62
$/mol:graphene[52]   954       #"system.lt", line 62
$/mol:graphene[53]   955       #"system.lt", line 62
$/mol:graphene[54]   956       #"system.lt", line 62
$/mol:graphene[55]   957       #"system.lt", line 62
$/mol:graphene[56]   958       #"system.lt", line 62
$/mol:graphene[57]   959       #"system.lt", line 62
$/mol:graphene[58]   960       #"system.lt", line 62
$/mol:graphene[59]   961       #"system.lt", line 62
$/mol:graphene[60]   962       #"system.lt", line 62
$/mol:graphene[61]   963       #"system.lt", line 62
$/mol:graphene[62]   964       #"system.lt", line 62
$/mol:graphene[63]   965       #"system.lt", line 62
$/mol:graphene[64]   966       #"system.lt", line 62
$/mol:graphene[65]   967       #"system.lt", line 62
$/mol:graphene[66]   968       #"system.lt", line 62
$/mol:graphene[67]   969       #"system.lt", line 62
$/mol:graphene[68]   970       #"system.lt", line 62
$/mol:graphene[69]   971       #"system.lt", line 62
$/mol:graphene[70]   972       #"system.lt", line 62
$/mol:graphene[71]   973       #"system.lt", line 62
$/mol:graphene[72]   974       #"system.lt", line 62
$/mol:graphene[73]   975       #"system.lt", line 62
$/mol:graphene[74]   976       #"system.lt", line 62
$/mol:graphene[75]   977       #"system.lt", line 62
$/mol:graphene[76]   978       #"system.lt", line 62
$/mol:graphene[77]   979       #"system.lt", line 62
$/mol:graphene[78]   980       #"system.lt", line 62
$/mol:graphene[79]   981       #"system.lt", line 62
$/mol:graphene[80]   982       #"system.lt", line 62
$/mol:graphene[81]   983       #"system.lt", line 62
$/mol:graphene[82]   984       #"system.lt", line 62
$/mol:graphene[83]   985       #"system.lt", line 62
$/mol:graphene[84]   986       #"system.lt", line 62
$/mol:graphene[85]   987       #"system.lt", line 62
$/mol:graphene[86]   988       #"system.lt", line 62
$/mol:graphene[87]   989       #"system.lt", line 62
$/mol:graphene[88]   990       #"system.lt", line 62
$/mol:graphene[89]   991       #"system.lt", line 62
$/mol:graphene[90]   992       #"system.lt", line 62
$/mol:graphene[91]   993       #"system.lt", line 62
$/mol:graphene[92]   994       #"system.lt", line 62
$/mol:graphene[93]   995       #"system.lt", line 62
$/mol:graphene[94]   996       #"system.lt", line 62
$/mol:graphene[95]   997       #"system.lt", line 62
$/mol:graphene[96]   998       #"system.lt", line 62
$/mol:graphene[97]   999       #"system.lt", line 62
$/mol:graphene[98]   1000       #"system.lt", line 62
$/mol:graphene[99]   1001       #"system.lt", line 62
$/mol:graphene[100]   1002       #"system.lt", line 62
$/mol:graphene[101]   1003       #"system.lt", line 62
$/mol:graphene[102]   1004       #"system.lt", line 62
$/mol:graphene[103]   1005       #"system.lt", line 62
$/mol:graphene[104]   1006       #"system.lt", line 62
$/mol:graphene[105]   1007       #"system.lt", line 62
$/mol:graphene[106]   1008       #"system.lt", line 62
$/mol:graphene[107]   1009       #"system.lt", line 62
$/mol:graphene[108]   1010       #"system.lt", line 62
$/mol:graphene[109]   1011       #"system.lt", line 62
$/mol:graphene[110]   1012       #"system.lt", line 62
$/mol:graphene[111]   1013       #"system.lt", line 62
$/mol:graphene[112]   1014       #"system.lt", line 62
$/mol:graphene[113]   1015       #"system.lt", line 62
$/mol:graphene[114]   1016       #"system.lt", line 62
$/mol:graphene[115]   1017       #"system.lt", line 62
$/mol:graphene[116]   1018       #"system.lt", line 62
$/mol:graphene[117]   1019       #"system.lt", line 62
$/mol:graphene[118]   1020       #"system.lt", line 62
$/mol:graphene[119]   1021       #"system.lt", line 62
$/mol:graphene[120]   1022       #"system.lt", line 62
$/mol:graphene[121]   1023       #"system.lt", line 62
$/mol:graphene[122]   1024       #"system.lt", line 62
$/mol:graphene[123]   1025       #"system.lt", line 62
$/mol:graphene[124]   1026       #"system.lt", line 62
$/mol:graphene[125]   1027       #"system.lt", line 62
$/mol:graphene[126]   1028       #"system.lt", line 62
$/mol:graphene[127]   1029       #"system.lt", line 62
$/mol:graphene[128]   1030       #"system.lt", line 62
$/mol:graphene[129]   1031       #"system.lt", line 62
$/mol:graphene[130]   1032       #"system.lt", line 62
$/mol:graphene[131]   1033       #"system.lt", line 62
$/mol:graphene[132]   1034       #"system.lt", line 62
$/mol:graphene[133]   1035       #"system.lt", line 62
$/mol:graphene[134]   1036       #"system.lt", line 62
$/mol:graphene[135]   1037       #"system.lt", line 62
$/mol:graphene[136]   1038       #"system.lt", line 62
$/mol:graphene[137]   1039       #"system.lt", line 62
$/mol:graphene[138]   1040       #"system.lt", line 62
$/mol:graphene[139]   1041       #"system.lt", line 62
$/mol:graphene[140]   1042       #"system.lt", line 62
$/mol:graphene[141]   1043       #"system.lt", line 62
$/mol:graphene[142]   1044       #"system.lt", line 62
$/mol:graphene[143]   1045       #"system.lt", line 62
$/mol:graphene[144]   1046       #"system.lt", line 62
$/mol:graphene[145]   1047       #"system.lt", line 62
$/mol:graphene[146]   1048       #"system.lt", line 62
$/mol:graphene[147]   1049       #"system.lt", line 62
$/mol:graphene[148]   1050       #"system.lt", line 62
$/mol:graphene[149]   1051       #"system.lt", line 62
$/mol:graphene[150]   1052       #"system.lt", line 62
$/mol:graphene[151]   1053       #"system.lt", line 62
$/mol:graphene[152]   1054       #"system.lt", line 62
$/mol:graphene[153]   1055       #"system.lt", line 62
$/mol:graphene[154]   1056       #"system.lt", line 62
$/mol:graphene[155]   1057       #"system.lt", line 62
$/mol:graphene[156]   1058       #"system.lt", line 62
$/mol:graphene[157]   1059       #"system.lt", line 62
$/mol:graphene[158]   1060       #"system.lt", line 62
$/mol:graphene[159]   1061       #"system.lt", line 62
$/mol:graphene[160]   1062       #"system.lt", line 62
$/mol:graphene[161]   1063       #"system.lt", line 62
$/mol:graphene[162]   1064       #"system.lt", line 62
$/mol:graphene[163]   1065       #"system.lt", line 62
$/mol:graphene[164]   1066       #"system.lt", line 62
$/mol:graphene[165]   1067       #"system.lt", line 62
$/mol:graphene[166]   1068       #"system.lt", line 62
$/mol:graphene[167]   1069       #"system.lt", line 62
$/mol:graphene[168]   1070       #"system.lt", line 62
$/mol:graphene[169]   1071       #"system.lt", line 62
$/mol:graphene[170]   1072       #"system.lt", line 62
$/mol:graphene[171]   1073       #"system.lt", line 62
$/mol:graphene[172]   1074       #"system.lt", line 62
$/mol:graphene[173]   1075       #"system.lt", line 62
$/mol:graphene[174]   1076       #"system.lt", line 62
$/mol:graphene[175]   1077       #"system.lt", line 62
$/mol:graphene[176]   1078       #"system.lt", line 62
$/mol:graphene[177]   1079       #"system.lt", line 62
$/mol:graphene[178]   1080       #"system.lt", line 62
$/mol:graphene[179]   1081       #"system.lt", line 62
$/mol:graphene[180]   1082       #"system.lt", line 62
$/mol:graphene[181]   1083       #"system.lt", line 62
$/mol:graphene[182]   1084       #"system.lt", line 62
$/mol:graphene[183]   1085       #"system.lt", line 62
$/mol:graphene[184]   1086       #"system.lt", line 62
$/mol:graphene[185]   1087       #"system.lt", line 62
$/mol:graphene[186]   1088       #"system.lt", line 62
$/mol:graphene[187]   1089       #"system.lt", line 62
$/mol:graphene[188]   1090       #"system.lt", line 62
$/mol:graphene[189]   1091       #"system.lt", line 62
$/mol:graphene[190]   1092       #"system.lt", line 62
$/mol:graphene[191]   1093       #"system.lt", line 62
$/mol:graphene[192]   1094       #"system.lt", line 62
$/mol:graphene[193]   1095       #"system.lt", line 62
$/mol:graphene[194]   1096       #"system.lt", line 62
$/mol:graphene[195]   1097       #"system.lt", line 62
$/mol:graphene[196]   1098       #"system.lt", line 62
$/mol:graphene[197]   1099       #"system.lt", line 62
$/mol:graphene[198]   1100       #"system.lt", line 62
$/mol:graphene[199]   1101       #"system.lt", line 62
$/mol:graphene[200]   1102       #"system.lt", line 62
$/mol:graphene[201]   1103       #"system.lt", line 62
$/mol:graphene[202]   1104       #"system.lt", line 62
$/mol:graphene[203]   1105       #"system.lt", line 62
$/mol:graphene[204]   1106       #"system.lt", line 62
$/mol:graphene[205]   1107       #"system.lt", line 62
$/mol:graphene[206]   1108       #"system.lt", line 62
$/mol:graphene[207]   1109       #"system.lt", line 62
$/mol:graphene[208]   1110       #"system.lt", line 62
$/mol:graphene[209]   1111       #"system.lt", line 62
$/mol:graphene[210]   1112       #"system.lt", line 62
$/mol:graphene[211]   1113       #"system.lt", line 62
$/mol:graphene[212]   1114       #"system.lt", line 62
$/mol:graphene[213]   1115       #"system.lt", line 62
$/mol:graphene[214]   1116       #"system.lt", line 62
$/mol:graphene[215]   1117       #"system.lt", line 62
$/mol:graphene[216]   1118       #"system.lt", line 62
$/mol:graphene[217]   1119       #"system.lt", line 62
$/mol:graphene[218]   1120       #"system.lt", line 62
$/mol:graphene[219]   1121       #"system.lt", line 62
$/mol:graphene[220]   1122       #"system.lt", line 62
$/mol:graphene[221]   1123       #"system.lt", line 62
$/mol:graphene[222]   1124       #"system.lt", line 62
$/mol:graphene[223]   1125       #"system.lt", line 62
$/mol:graphene[224]   1126       #"system.lt", line 62
$/mol:graphene[225]   1127       #"system.lt", line 62
$/mol:graphene[226]   1128       #"system.lt", line 62
$/mol:graphene[227]   1129       #"system.lt", line 62
$/mol:graphene[228]   1130       #"system.lt", line 62
$/mol:graphene[229]   1131       #"system.lt", line 62
$/mol:graphene[230]   1132       #"system.lt", line 62
$/mol:graphene[231]   1133       #"system.lt", line 62
$/mol:graphene[232]   1134       #"system.lt", line 62
$/mol:graphene[233]   1135       #"system.lt", line 62
$/mol:graphene[234]   1136       #"system.lt", line 62
$/mol:graphene[235]   1137       #"system.lt", line 62
$/mol:graphene[236]   1138       #"system.lt", line 62
$/mol:graphene[237]   1139       #"system.lt", line 62
$/mol:graphene[238]   1140       #"system.lt", line 62
$/mol:graphene[239]   1141       #"system.lt", line 62
$/mol:graphene[240]   1142       #"system.lt", line 62
$/mol:graphene[241]   1143       #"system.lt", line 62
$/mol:graphene[242]   1144       #"system.lt", line 62
$/mol:graphene[243]   1145       #"system.lt", line 62
$/mol:graphene[244]   1146       #"system.lt", line 62
$/mol:graphene[245]   1147       #"system.lt", line 62
$/mol:graphene[246]   1148       #"system.lt", line 62
$/mol:graphene[247]   1149       #"system.lt", line 62
$/mol:graphene[248]   1150       #"system.lt", line 62
$/mol:graphene[249]   1151       #"system.lt", line 62
$/mol:graphene[250]   1152       #"system.lt", line 62
$/mol:graphene[251]   1153       #"system.lt", line 62
$/mol:graphene[252]   1154       #"system.lt", line 62
$/mol:graphene[253]   1155       #"system.lt", line 62
$/mol:graphene[254]   1156       #"system.lt", line 62
$/mol:graphene[255]   1157       #"system.lt", line 62
$/mol:graphene[256]   1158       #"system.lt", line 62
$/mol:graphene[257]   1159       #"system.lt", line 62
$/mol:graphene[258]   1160       #"system.lt", line 62
$/mol:graphene[259]   1161       #"system.lt", line 62
$/mol:graphene[260]   1162       #"system.lt", line 62
$/mol:graphene[261]   1163       #"system.lt", line 62
$/mol:graphene[262]   1164       #"system.lt", line 62
$/mol:graphene[263]   1165       #"system.lt", line 62
$/mol:graphene[264]   1166       #"system.lt", line 62
$/mol:graphene[265]   1167       #"system.lt", line 62
